
RANKING : OFFICIAL - 2006/2007
fie
Event : S

Weapon : E

Gender : F

09.09.06 Arhus (SA)	15.10.06 Turku (SA)	28.10.06 Copenhague (SA)	11.11.06 Oslo (SA)	25.11.06 Belgrade (SA)	19.01.07 Budapest (GP)	27.01.07 Prague (A)	09.02.07 Rome (GP)	10.02.07 Stockholm (SA)	16.02.07 Barcelone (GP)	24.02.07 Saint-Maur (A)	03.03.07 Tauberbischofsheim (A)	10.03.07 Edinburgh (SA)	10.03.07 St-Petersbourg (A)	17.03.07 Florina (A)	24.03.07 Luxembourg (A)	05.05.07 Split (SA)	18.05.07 Nankin (GP)	26.05.07 Sydney (A)	01.06.07 Montréal (GP)	08.06.07 La Havane (A)	23.06.07 Newcastle (SA)	02.07.07 Gand (CHZ)	12.07.07 Alger (CHZ)	22.08.07 Nantong (CHZ)	27.08.07 Montreal (CHZ)	22.09.07 Istanbul (SA)	30.09.07 St-Petersbourg (CHM)	Total
31	DMOWSKA-ANDRZEJUK Danuta	POL				(0.00)		4.00		28.00		16.00	(2.00)			8.00	(4.00)	(2.00)		28.00	(2.00)	(0.00)	(0.00)		0.00					6.00	88.00
32	DUNNETTE Catherine	CAN						0.00	4.00	4.00		(0.00)								(0.00)	2.00	(0.00)	2.00					64.00		6.00	82.00
33	MARKOVIC Marijana	GER						(0.00)	(4.00)	8.00		16.00	(2.00)	(4.00)		14.00		14.00		(4.00)	(2.00)	28.00	(2.00)		4.00						82.00
34	HURLEY Kelley	USA								0.00										8.00	4.00	0.00	8.00					52.00		6.00	78.00
35	LAMON FERNANDEZ Sophie	SUI						4.00	8.00			(0.00)	4.00	(2.00)		(2.00)	(4.00)	(2.00)		(4.00)	8.00	16.00	(4.00)		28.00					6.00	78.00
36	PARTALA Olga	UKR						0.00		64.00		8.00				2.00															74.00
37	GEROUDET Tiffany	SUI						(4.00)	(4.00)	(4.00)		8.00	8.00	14.00				(2.00)		16.00		(0.00)	14.00		8.00					6.00	74.00
38	GRABOWSKA Magdalena	POL				(1.00)		(4.00)	(4.00)	(0.00)		4.00	(4.00)	(2.00)		(4.00)	14.00	(4.00)		8.00	8.00	16.00	(0.00)		8.00					12.00	74.00
39	DESCOUTS Audrey	FRA						(0.00)		4.00		28.00	20.00			(2.00)		8.00		4.00	(2.00)	(0.00)	(0.00)		4.00					6.00	72.00
40	LEPROHON Julie	CAN						16.00	(2.00)	4.00		4.00								8.00	4.00	(0.00)	(0.00)					28.00		6.00	70.00
